state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch
1,1982,1.3700000050,14.399999620,10544.152340000001,50.69203949,1.5393794780,30.3556995400,0.3282899857,19.00000000,25.00629997000,0.2115720063,7233.887207000000,0,0,0,839,0.000212836,146,0.0000370370,99,53,0.000253589,9,0.000043061998,99,34,0.0004468448,0.000153461849,120,0.000413793,32,0.000110345,309.43798830,0.000078498,3942002.250000000000,208999.593800000002,221553.437500000000,290000.062500000000,28516.000000000000,9.699999809,57.79999924,-0.022124759850
1,1983,1.3600000140,13.699999810,10732.797850000001,52.14702988,1.7889907360,30.3335990900,0.3434099853,19.00000000,22.99419975000,0.2107679993,7836.347656000000,0,0,0,930,0.000234848,154,0.0000388889,98,71,0.000351485,8,0.000039604001,108,26,0.0004928683,0.000118653486,124,0.000427586,35,0.000120690,341.83401490,0.000086322,3960008.000000000000,202000.078100000013,219125.468800000002,290000.156200000027,31032.000000000000,9.600000381,57.90000153,0.046558253470
1,1984,1.3200000520,11.100000380,11108.791020000001,54.16808701,1.7142856120,30.3115005500,0.3592399955,19.00000000,24.04260063000,0.2114840001,8262.990234000001,0,0,0,932,0.000233643,165,0.0000413638,94,49,0.000248731,7,0.000035533001,103,25,0.0004752587,0.000115354043,118,0.000409722,34,0.000118056,304.87200930,0.000076428,3988991.750000000000,196999.968800000002,216724.093800000002,288000.156200000027,32961.000000000000,7.500000000,59.50000381,0.062797836960
1,1985,1.2799999710,8.899999619,11332.626950000000,55.27113724,1.6525423530,30.2894992800,0.3757900000,19.67000008,23.63389969000,0.2111400068,8726.916992000000,0,0,0,882,0.000219348,146,0.0000363094,98,66,0.000338462,9,0.000046154000,100,23,0.0004665288,0.000107301632,114,0.000401408,45,0.000158451,276.74200440,0.000068824,4021007.750000000000,194999.734399999987,214349.031199999998,284000.312500000000,35091.000000000000,7.199999809,60.10000229,0.027489973230
1,1986,1.2300000190,9.800000191,11661.506840000000,56.51449585,1.6099070310,30.2674007400,0.3931100070,21.00000000,23.46470070000,0.2134000063,8952.853515999999,0,0,0,1081,0.000266914,172,0.0000424691,119,82,0.000401961,10,0.000049020000,120,23,0.0005660377,0.000108490567,119,0.000452471,29,0.000110266,360.71600340,0.000089066,4049993.750000000000,203999.890600000013,212000.000000000000,263000.281200000027,36259.000000000000,7.000000000,60.70000076,0.032142948360
1,1987,1.1799999480,7.800000191,11944.000000000000,57.50988007,1.5599999430,30.2453002900,0.4112299979,21.00000000,23.79240036000,0.2155269980,9166.301758000000,0,0,0,1110,0.000271859,181,0.0000443301,114,94,0.000458537,11,0.000053659001,127,31,0.0006076600,0.000148324994,138,0.000532819,30,0.000115830,368.42099000,0.000090233,4082999.000000000000,204999.812500000000,208998.453100000013,258999.765600000013,37426.000000000000,6.199999809,61.50000000,0.048976372930
1,1988,1.1699999570,7.199999809,12368.624019999999,56.83452988,1.5014436240,30.2233009300,0.4301800132,21.00000000,23.79240036000,0.2183279991,9674.323242000000,0,0,0,1023,0.000249391,139,0.0000338859,89,66,0.000328358,8,0.000039801002,105,24,0.0005440400,0.000124351995,123,0.000467681,25,0.000095057,298.32199100,0.000072726,4101992.250000000000,201000.125000000000,193000.515600000013,262999.781200000027,39684.000000000000,5.500000000,62.30000305,0.035391818730
4,1982,1.9700000290,9.899999619,12309.069340000000,56.89329529,0.2147971392,3.9588999750,4.9190998080,19.00000000,0.00000000000,0.2090120018,6810.156738000000,0,1,1,724,0.000249914,131,0.0000452192,76,40,0.000283688,7,0.000049645001,81,16,0.0005179733,0.000102315716,96,0.000440367,36,0.000165138,173.66799930,0.000059948,2896996.500000000000,140999.984399999987,156378.703100000013,217999.984399999987,19729.000000000000,9.699999809,57.79999924,-0.043181899940
4,1983,1.8999999760,9.100000381,12693.807620000000,57.55363083,0.2064220309,3.8901000020,4.8310699460,19.00000000,0.00000000000,0.2038549930,6587.494629000000,0,1,1,675,0.000226738,112,0.0000376218,60,40,0.000287770,7,0.000050359999,83,19,0.0005269124,0.000120618497,80,0.000365297,17,0.000077626,196.88999940,0.000066137,2977004.250000000000,138999.890600000013,157521.437500000000,218999.890600000013,19611.000000000000,9.600000381,57.90000153,0.076205536720
4,1984,2.1400001050,5.000000000,13265.933590000001,60.37902069,0.2967033088,3.8225998880,4.7446098330,19.00000000,0.00000000000,0.2091269940,6709.970215000000,0,1,1,869,0.000282878,149,0.0000485026,81,51,0.000369565,8,0.000057970999,118,34,0.0007436700,0.000214277796,123,0.000559091,33,0.000150000,212.36099240,0.000069128,3071995.750000000000,138000.078100000013,158672.531199999998,219999.968800000002,20613.000000000000,7.500000000,59.50000381,0.106213972000
