AGE,CITY,EDUC,EXPER,EXPERSQ,FAMINC,FATHEDUC,HOURS,HUSAGE,HUSEDUC,HUSHRS,HUSWAGE,INLF,KIDSGE6,KIDSLT6,LWAGE,MOTHEDUC,MTR,NWIFEINC,REPWAGE,UNEM,WAGE
32,0,12,14,196,16310,7,1610,34,12,2708,4.0288,1,0,1,1.2101536989,12,0.7215,10.9100600000,2.65,5.0,3.3540
30,1,12,5,25,21800,7,1656,30,9,2310,8.4416,1,2,0,0.3285121000,7,0.6615,19.4999800000,2.65,11.0,1.3889
35,0,12,15,225,21040,7,1980,40,12,3072,3.5807,1,3,1,1.5141377449,12,0.6915,12.0399100000,4.04,5.0,4.5455
34,0,12,6,36,7300,7,456,53,10,1920,3.5417,1,3,0,0.0921233200,7,0.7815,6.7999960000,3.25,5.0,1.0965
31,1,14,7,49,27300,14,1568,32,12,2000,10.0000,1,2,1,1.5242722034,12,0.6215,20.1000576019,3.60,9.5,4.5918
54,1,12,33,1089,19495,7,2032,57,11,1040,6.7106,1,0,0,1.5564800000,14,0.6915,9.8590540000,4.70,7.5,4.7421
37,0,16,11,121,21152,7,1440,37,12,2670,3.4277,1,2,0,2.1202595234,14,0.6915,9.1520480000,5.95,5.0,8.3333
54,0,12,35,1225,18900,3,1020,53,8,4120,2.5485,1,0,0,2.0596342087,3,0.6915,10.9000377655,9.98,5.0,7.8431
48,0,12,24,576,20405,7,1458,52,4,1995,4.2206,1,2,0,0.7543364000,7,0.7515,17.3050000000,0.00,3.0,2.1262
39,0,12,21,441,20425,7,1600,43,12,2100,5.7143,1,2,0,1.5448993444,7,0.6915,12.9250000000,4.15,5.0,4.6875
33,0,12,15,225,32300,3,1969,34,12,2450,9.7959,1,1,0,1.4019216299,12,0.5815,24.2999534607,4.30,5.0,4.0630
42,0,11,14,196,28700,7,1960,47,14,2375,8.0000,1,1,0,1.5242722034,14,0.6215,19.7000713348,4.58,5.0,4.5918
30,0,12,0,0,15500,16,240,33,16,2830,5.3004,1,2,1,0.7339532000,16,0.7215,15.0000076294,0.00,5.0,2.0833
43,1,12,14,196,16860,10,997,46,12,3317,4.3413,1,2,0,0.8183691000,10,0.7215,14.6000000000,3.50,7.5,2.2668
43,1,10,6,36,31431,7,1848,45,17,2024,10.8700,1,1,0,1.3028311729,7,0.5815,24.6309146881,3.38,7.5,3.6797
35,1,11,9,81,19180,10,1224,38,12,1694,9.1499,1,3,0,0.2980283797,16,0.7215,17.5310268402,0.00,7.5,1.3472
43,1,12,20,400,18600,7,1400,45,12,2156,6.1224,1,2,0,1.1676095724,10,0.6915,14.0999800000,4.00,7.5,3.2143
39,1,12,6,36,19151,12,640,40,12,2250,6.1498,1,5,0,1.6438393593,12,0.7215,15.8390000000,2.25,7.5,5.1750
45,1,12,23,529,18100,7,2000,51,11,2024,6.9170,1,0,0,0.6931472000,7,0.6915,14.1000000000,2.30,5.0,2.0000
35,0,12,9,81,20300,7,1324,40,10,2123,4.7103,1,4,0,2.0219316483,12,0.6915,10.2999610901,3.94,5.0,7.5529
42,0,16,5,25,30419,16,2215,48,16,4160,3.1310,1,2,0,1.2542475462,10,0.6215,22.6549816132,3.30,7.5,3.5052
30,0,12,11,121,14090,10,1680,35,12,2000,4.0000,1,0,0,1.2729576826,12,0.7215,8.0900480000,3.80,3.0,3.5714
48,1,13,18,324,22679,3,1600,52,17,2420,7.2227,1,0,0,1.1786550000,7,0.6615,17.4790000000,3.26,5.0,3.2500
45,0,12,15,225,12160,7,800,53,17,1150,7.9652,1,0,0,1.1786550000,7,0.7215,9.5600000000,2.20,11.0,3.2500
31,1,12,4,16,12487,7,1955,31,12,2024,4.0884,1,1,1,0.7675587000,12,0.7515,8.2749530000,2.30,5.0,2.1545
43,1,17,21,441,29850,14,660,43,17,1904,14.1810,1,2,0,1.3318117857,16,0.5815,27.3499851227,0.00,9.5,3.7879
59,1,12,31,961,18100,7,525,53,16,2448,6.5359,1,0,0,1.3862943649,3,0.6915,16.0000000000,3.18,9.5,4.0000
32,1,12,9,81,26000,7,1904,33,13,2000,8.5000,1,3,0,1.5532696247,3,0.6615,16.9999828339,6.07,11.0,4.7269
31,0,17,7,49,26100,12,1516,30,17,2390,6.2762,1,0,1,1.9818148613,12,0.6215,15.1000556946,6.00,5.0,7.2559
42,0,12,7,49,17730,12,346,47,10,1920,5.2083,1,0,0,1.7693604231,12,0.7215,15.6999835968,6.39,9.5,5.8671
50,1,11,32,1024,6719,7,1040,53,10,1840,2.7821,1,0,0,0.4308079000,7,0.7515,5.1189600000,0.00,7.5,1.5385
59,1,16,11,121,18550,3,732,57,17,3360,4.9107,1,0,0,0.8997548000,3,0.6915,16.7500114441,2.50,14.0,2.4590
36,0,13,16,256,24600,10,1880,35,13,2284,5.8669,1,2,0,1.7666296959,12,0.6615,13.5999317169,5.20,7.5,5.8511
51,1,12,14,196,23100,14,1680,50,8,1875,7.5200,1,1,0,1.2729576826,7,0.6915,17.1000480652,3.29,5.0,3.5714
45,1,16,27,729,24656,12,2081,47,17,2140,7.5449,1,3,0,1.3367888927,12,0.6615,16.7340488434,4.19,5.0,3.8068
42,0,11,0,0,15897,3,690,44,8,1896,5.5380,1,1,0,0.9017048000,10,0.7515,14.1969776154,0.00,7.5,2.4638
46,1,12,17,289,20320,3,4210,49,16,1040,6.9231,1,0,0,0.8651237000,3,0.6915,10.3199872971,4.63,11.0,2.3753
46,0,10,28,784,21384,3,2205,52,12,2200,5.0000,1,1,0,1.5118471384,10,0.6615,11.3841047287,4.55,11.0,4.5351
51,0,14,24,576,25561,7,1952,58,12,1952,7.3064,1,0,0,1.7260291576,7,0.6215,14.5940780640,5.60,14.0,5.6183
30,1,17,11,121,36550,17,1302,30,17,1560,11.2180,1,0,0,2.6831424236,14,0.5800,17.5004386902,9.53,5.0,14.6310
30,0,12,1,1,15810,12,112,33,16,4030,3.8462,1,2,1,0.9852943000,12,0.7215,15.5099964142,0.00,3.0,2.6786
57,1,12,14,196,25500,9,893,58,12,2570,5.8366,1,0,0,1.3659385443,9,0.6215,21.9999752045,3.50,7.5,3.9194
31,1,16,6,36,24000,16,583,34,16,1530,13.7250,1,2,1,0.9450337000,14,0.6615,22.5000000000,9.98,9.5,2.5729
48,0,12,10,100,22172,3,480,48,8,3149,6.3493,1,2,0,1.5123761892,3,0.6615,19.9940000000,4.65,5.0,4.5375
30,0,12,6,36,17930,7,1900,32,12,2690,5.2528,1,3,0,0.6931472000,12,0.7215,14.1300000000,2.23,5.0,2.0000
34,0,12,4,16,7000,7,576,33,12,3096,1.3075,1,2,0,1.2447884083,12,0.7815,5.0000130000,3.84,3.0,3.4722
48,1,16,10,100,25300,16,2056,53,16,2552,2.7998,1,2,0,0.7011649000,14,0.7215,21.1548976898,0.00,5.0,2.0161
45,0,12,22,484,16212,10,1984,47,11,2040,2.6961,1,0,0,1.5198632479,10,0.7215,7.1419460000,4.82,11.0,4.5716
51,0,12,16,256,22650,7,2640,50,13,2180,7.5688,1,0,0,0.8209686000,7,0.6615,16.6500720978,0.00,3.0,2.2727
