train,age,educ,black,hisp,married,nodegree,mosinex,re74,re75,re78,unem74,unem75,unem78,lre74,lre75,lre78,agesq,mostrn
1,37,11,1,0,1,1,13,0.000000,0.000000,9.930050,1,1,0,0.000000,0.000000,2.295566,1369,13
1,22,9,0,1,0,1,13,0.000000,0.000000,3.595890,1,1,0,0.000000,0.000000,1.279792,484,13
1,30,12,1,0,0,0,13,0.000000,0.000000,24.909500,1,1,0,0.000000,0.000000,3.215249,900,13
1,27,11,1,0,0,1,13,0.000000,0.000000,7.506150,1,1,0,0.000000,0.000000,2.015723,729,13
1,33,8,1,0,0,1,13,0.000000,0.000000,0.289790,1,1,0,0.000000,0.000000,-1.238599,1089,13
1,22,9,1,0,0,1,13,0.000000,0.000000,4.056490,1,1,0,0.000000,0.000000,1.400318,484,13
1,23,12,1,0,0,0,6,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,529,6
1,32,11,1,0,0,1,6,0.000000,0.000000,8.472160,1,1,0,0.000000,0.000000,2.136786,1024,6
1,22,16,1,0,0,0,14,0.000000,0.000000,2.164020,1,1,0,0.000000,0.000000,0.771968,484,14
1,33,12,0,0,1,0,13,0.000000,0.000000,12.418100,1,1,0,0.000000,0.000000,2.519155,1089,13
1,19,9,1,0,0,1,14,0.000000,0.000000,8.173910,1,1,0,0.000000,0.000000,2.100947,361,14
1,21,13,1,0,0,0,14,0.000000,0.000000,17.094600,1,1,0,0.000000,0.000000,2.838763,441,14
1,18,8,1,0,0,1,15,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,324,15
1,27,10,1,0,1,1,15,0.000000,0.000000,18.739900,1,1,0,0.000000,0.000000,2.930655,729,15
1,17,7,1,0,0,1,15,0.000000,0.000000,3.023880,1,1,0,0.000000,0.000000,1.106541,289,15
1,19,10,1,0,0,1,13,0.000000,0.000000,3.228500,1,1,0,0.000000,0.000000,1.172018,361,13
1,27,13,1,0,0,0,6,0.000000,0.000000,14.581900,1,1,0,0.000000,0.000000,2.679781,729,6
1,23,10,1,0,0,1,13,0.000000,0.000000,7.693400,1,1,0,0.000000,0.000000,2.040363,529,13
1,40,12,1,0,0,0,15,0.000000,0.000000,10.804300,1,1,0,0.000000,0.000000,2.379944,1600,15
1,26,12,1,0,0,0,21,0.000000,0.000000,10.747400,1,1,0,0.000000,0.000000,2.374664,676,21
1,23,11,1,0,0,1,6,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,529,6
1,41,14,0,0,0,0,14,0.000000,0.000000,5.149500,1,1,0,0.000000,0.000000,1.638900,1681,14
1,38,9,0,0,0,1,6,0.000000,0.000000,6.408950,1,1,0,0.000000,0.000000,1.857695,1444,6
1,24,11,1,0,0,1,6,0.000000,0.000000,1.991400,1,1,0,0.000000,0.000000,0.688838,576,6
1,18,10,1,0,0,1,15,0.000000,0.000000,11.163200,1,1,0,0.000000,0.000000,2.412623,324,15
1,29,11,1,0,1,1,6,0.000000,0.000000,9.643000,1,1,0,0.000000,0.000000,2.266232,841,6
1,25,11,1,0,0,1,13,0.000000,0.000000,9.897050,1,1,0,0.000000,0.000000,2.292237,625,13
1,27,10,0,1,0,1,13,0.000000,0.000000,11.142900,1,1,0,0.000000,0.000000,2.410803,729,13
1,17,10,1,0,0,1,14,0.000000,0.000000,16.218000,1,1,0,0.000000,0.000000,2.786122,289,14
1,24,11,1,0,0,1,15,0.000000,0.000000,0.995700,1,1,0,0.000000,0.000000,-0.004309,576,15
1,17,10,1,0,0,1,6,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,289,6
1,48,4,1,0,0,1,14,0.000000,0.000000,6.551590,1,1,0,0.000000,0.000000,1.879708,2304,14
1,25,11,1,0,1,1,14,0.000000,0.000000,1.574420,1,1,0,0.000000,0.000000,0.453887,625,14
1,20,12,1,0,0,0,14,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,400,14
1,25,12,1,0,0,0,14,0.000000,0.000000,3.191750,1,1,0,0.000000,0.000000,1.160569,625,14
1,42,14,1,0,0,0,12,0.000000,0.000000,20.505900,1,1,0,0.000000,0.000000,3.020713,1764,12
1,25,5,1,0,0,1,15,0.000000,0.000000,6.181880,1,1,0,0.000000,0.000000,1.821622,625,15
1,23,12,1,0,1,0,13,0.000000,0.000000,5.911550,1,1,0,0.000000,0.000000,1.776908,529,13
1,46,8,1,0,1,1,15,0.000000,0.000000,3.094160,1,1,0,0.000000,0.000000,1.129516,2116,15
1,24,10,1,0,0,1,15,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,576,15
1,21,12,1,0,0,0,15,0.000000,0.000000,1.254580,1,1,0,0.000000,0.000000,0.226801,441,15
1,19,9,0,0,0,1,14,0.000000,0.000000,13.188800,1,1,0,0.000000,0.000000,2.579368,361,14
1,17,8,1,0,0,1,15,0.000000,0.000000,8.061490,1,1,0,0.000000,0.000000,2.087098,289,15
1,18,8,0,1,1,1,15,0.000000,0.000000,2.787960,1,1,0,0.000000,0.000000,1.025310,324,15
1,20,11,1,0,0,1,23,0.000000,0.000000,3.972540,1,1,0,0.000000,0.000000,1.379406,400,23
1,25,11,1,0,1,1,15,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,625,15
1,17,8,1,0,0,1,13,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,289,13
1,17,9,1,0,0,1,13,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,289,13
1,25,5,1,0,0,1,24,0.000000,0.000000,12.187400,1,1,0,0.000000,0.000000,2.500403,625,24
1,23,12,1,0,0,0,15,0.000000,0.000000,4.843180,1,1,0,0.000000,0.000000,1.577572,529,15
1,28,8,1,0,0,1,14,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,784,14
1,31,11,1,0,1,1,24,0.000000,0.000000,8.087490,1,1,0,0.000000,0.000000,2.090318,961,24
1,18,11,1,0,0,1,24,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,324,24
1,25,12,1,0,0,0,13,0.000000,0.000000,2.348970,1,1,0,0.000000,0.000000,0.853977,625,13
1,30,11,1,0,1,1,15,0.000000,0.000000,0.590782,1,1,0,0.000000,0.000000,-0.526308,900,15
1,17,10,1,0,0,1,13,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,289,13
1,37,9,1,0,0,1,24,0.000000,0.000000,1.067510,1,1,0,0.000000,0.000000,0.065329,1369,24
1,41,4,1,0,1,1,14,0.000000,0.000000,7.284990,1,1,0,0.000000,0.000000,1.985816,1681,14
1,42,14,1,0,1,0,23,0.000000,0.000000,13.167500,1,1,0,0.000000,0.000000,2.577752,1764,23
1,22,11,0,0,0,1,13,0.000000,0.000000,1.048430,1,1,0,0.000000,0.000000,0.047294,484,13
1,17,8,1,0,0,1,13,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,289,13
1,29,8,1,0,0,1,13,0.000000,0.000000,1.923940,1,1,0,0.000000,0.000000,0.654375,841,13
1,35,10,1,0,0,1,14,0.000000,0.000000,4.666240,1,1,0,0.000000,0.000000,1.540354,1225,14
1,27,11,1,0,0,1,13,0.000000,0.000000,0.549298,1,1,0,0.000000,0.000000,-0.599114,729,13
1,29,4,1,0,0,1,13,0.000000,0.000000,0.762915,1,1,0,0.000000,0.000000,-0.270609,841,13
1,28,9,1,0,0,1,22,0.000000,0.000000,10.694300,1,1,0,0.000000,0.000000,2.369711,784,22
1,27,11,1,0,0,1,13,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,729,13
1,23,7,0,0,0,1,15,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,529,15
1,45,5,1,0,1,1,15,0.000000,0.000000,8.546720,1,1,0,0.000000,0.000000,2.145548,2025,15
1,29,13,1,0,0,0,13,0.000000,0.000000,7.479660,1,1,0,0.000000,0.000000,2.012187,841,13
1,27,9,1,0,0,1,14,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,729,14
1,46,13,1,0,0,0,15,0.000000,0.000000,0.647205,1,1,0,0.000000,0.000000,-0.435092,2116,15
1,18,6,1,0,0,1,13,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,324,13
1,25,12,1,0,0,0,22,0.000000,0.000000,11.965800,1,1,0,0.000000,0.000000,2.482053,625,22
1,28,15,1,0,0,0,13,0.000000,0.000000,9.598539,1,1,0,0.000000,0.000000,2.261611,784,13
1,25,11,0,0,0,1,23,0.000000,0.000000,18.783400,1,1,0,0.000000,0.000000,2.932973,625,23
1,22,12,1,0,0,0,24,0.000000,0.000000,18.678100,1,1,0,0.000000,0.000000,2.927352,484,24
1,21,9,1,0,0,1,15,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,441,15
1,40,11,1,0,0,1,22,0.000000,0.000000,23.005600,1,1,0,0.000000,0.000000,3.135738,1600,22
1,22,11,1,0,0,1,14,0.000000,0.000000,6.456700,1,1,0,0.000000,0.000000,1.865118,484,14
1,25,12,1,0,0,0,14,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,625,14
1,18,12,1,0,0,0,14,0.000000,0.000000,2.321110,1,1,0,0.000000,0.000000,0.842046,324,14
1,38,12,0,0,0,0,22,0.000000,0.000000,4.941850,1,1,0,0.000000,0.000000,1.597740,1444,22
1,27,13,1,0,0,0,15,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,729,15
1,27,8,1,0,0,1,21,0.000000,0.000000,0.000000,1,1,1,0.000000,0.000000,0.000000,729,21
